Device;Device serial;ID;Date/Time;Value;Unit;Mode;Value2;Unit2;Mode2;Measurement;Calibration;Additional;Sensor;Sensor serial;User
inoLab Multi 9430;14490252;3;13.10.2020 07:33;0,18;mg/l;Ox;20,1;°C;Temp;AR;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:33;0,18;mg/l;Ox;20,1;°C;Temp;AR;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:33;0,18;mg/l;Ox;20,1;°C;Temp;AR;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:33;0,19;mg/l;Ox;20,1;°C;Temp;AR;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:33;0,24;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:33;0,32;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:33;0,43;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:33;0,57;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;0,73;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;0,9;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;1,08;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;1,26;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;1,47;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;1,67;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;1,86;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;2,04;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;2,22;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;2,41;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;2,6;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:34;2,75;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;2,92;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;3,05;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;3,2;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;3,33;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;3,47;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;3,61;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;3,73;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;3,87;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;4,01;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;4,11;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;4,22;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:35;4,33;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;4,44;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;4,55;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;4,65;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;4,74;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;4,84;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;4,93;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;5,01;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;5,09;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;5,18;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;5,27;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;5,33;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
inoLab Multi 9430;14490252;3;13.10.2020 07:36;5,4;mg/l;Ox;20,1;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925;14480154;
